2025-04-05 01:03:27 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 13 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:03:27 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 14/30: gru, layers: 4, units: [32, 256, 128, 256], lr: 0.005
2025-04-05 01:12:23 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 14 results: RMSE: 15.1378, Direction Accuracy: 83.33%
2025-04-05 01:12:23 | INFO     | evolution.hyperparameter_tuner:tune:465 - New best model found! rmse: 15.1378
2025-04-05 01:12:23 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 15/30: lstm, layers: 3, units: [64, 256, 32], lr: 0.01
2025-04-05 01:12:33 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 15 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:12:33 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 16/30: transformer, layers: 1, units: [128], lr: 0.01
2025-04-05 01:12:41 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 16 results: RMSE: 16.5402, Direction Accuracy: 83.33%
2025-04-05 01:12:41 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 17/30: gru, layers: 1, units: [128], lr: 0.005
2025-04-05 01:12:45 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 17 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:12:45 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 18/30: lstm, layers: 3, units: [64, 128, 128], lr: 0.0001
2025-04-05 01:13:16 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 18 results: RMSE: 14.5438, Direction Accuracy: 83.33%
2025-04-05 01:13:16 | INFO     | evolution.hyperparameter_tuner:tune:465 - New best model found! rmse: 14.5438
2025-04-05 01:13:16 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 19/30: lstm, layers: 1, units: [32], lr: 0.0005
2025-04-05 01:13:20 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 19 results: RMSE: nan, Direction Accuracy: 83.33%
