timestamp,volume,vw,open,close,high,low,transactions
2020-09-30 04:00:00,338549492.0,10.3208,10.0,9.5,11.42,9.11,811535
2020-10-01 04:00:00,129660350.0,9.5933,9.69,9.46,10.1,9.23,390409
2020-10-02 04:00:00,56343795.0,9.1253,9.06,9.2,9.28,8.94,175321
2020-10-05 04:00:00,36951976.0,9.1074,9.43,9.03,9.49,8.92,131670
2020-10-06 04:00:00,91313619.0,9.6767,9.04,9.9,10.18,8.9,243323
2020-10-07 04:00:00,55469945.0,10.2519,10.04,10.0,10.49,9.99,178587
2020-10-08 04:00:00,35995168.0,10.2022,10.29,10.0,10.4,9.99,113550
2020-10-09 04:00:00,20204367.0,10.0233,10.13,9.95,10.19,9.89,62992
2020-10-12 04:00:00,20975708.0,9.936,10.04,9.89,10.05,9.66,66988
2020-10-13 04:00:00,22160337.0,9.5647,9.88,9.47,9.88,9.41,83405
2020-10-14 04:00:00,14101180.0,9.4384,9.6,9.34,9.66,9.29,58335
2020-10-15 04:00:00,13148853.0,9.527,9.27,9.91,9.91,9.18,47367
2020-10-16 04:00:00,11535929.0,9.7695,9.94,9.71,9.95,9.66,46919
2020-10-19 04:00:00,9333008.0,9.6411,9.79,9.57,9.82,9.53,41497
2020-10-20 04:00:00,11291094.0,9.4237,9.6,9.27,9.66,9.27,41462
2020-10-21 04:00:00,9424019.0,9.2931,9.3,9.2,9.48,9.2,41283
2020-10-22 04:00:00,18124924.0,9.5533,9.37,9.68,9.75,9.22,68756
2020-10-23 04:00:00,12980138.0,9.6137,9.71,9.49,9.83,9.47,48110
2020-10-26 04:00:00,24188457.0,9.7971,9.72,9.95,9.97,9.6,79615
2020-10-27 04:00:00,54271624.0,10.5718,10.0,10.95,11.04,9.92,155485
2020-10-28 04:00:00,31926944.0,10.5964,10.66,10.85,10.985,10.1,95933
2020-10-29 04:00:00,20812272.0,10.8882,10.9,10.75,11.1,10.56,68593
2020-10-30 04:00:00,19928843.0,10.1999,10.61,10.13,10.68,9.85,66882
2020-11-02 05:00:00,12026142.0,10.4152,10.23,10.54,10.57,10.23,42321
2020-11-03 05:00:00,21994100.0,10.6852,10.57,10.5,10.94,10.44,79227
2020-11-04 05:00:00,16019267.0,10.7512,10.82,10.72,10.92,10.55,57143
2020-11-05 05:00:00,49022580.0,11.6889,10.9,11.88,12.13,10.85,156268
2020-11-06 05:00:00,91141147.0,13.8193,12.22,13.83,14.96,12.05,327540
2020-11-09 05:00:00,62551205.0,15.0501,14.96,14.67,15.9,14.11,222163
