timestamp,volume,vw,open,close,high,low,transactions
2015-04-06 04:00:00,186837165.0,13.5929,13.2,13.54,13.85,13.1667,86978
2015-04-07 04:00:00,65217960.0,13.5259,13.5007,13.55,13.6707,13.4093,34284
2015-04-08 04:00:00,94546755.0,13.8755,13.88,13.8447,14.06,13.7247,47084
2015-04-09 04:00:00,57003375.0,13.886,13.8953,14.006,14.0247,13.7413,29111
2015-04-10 04:00:00,61015140.0,14.02,13.99,14.06,14.11,13.9333,31206
2015-04-13 04:00:00,56373450.0,14.044,14.029,13.9853,14.2,13.9367,29263
2015-04-14 04:00:00,45389445.0,13.814,13.9047,13.8307,13.966,13.7,24569
2015-04-15 04:00:00,29285670.0,13.8729,13.8307,13.8553,13.9727,13.7733,16861
2015-04-16 04:00:00,24885885.0,13.8108,13.8467,13.78,13.9447,13.7527,13871
2015-04-17 04:00:00,37048890.0,13.6728,13.666,13.786,13.792,13.5667,21526
2015-04-20 04:00:00,38388765.0,13.7116,13.7853,13.6847,13.8567,13.59,21924
2015-04-21 04:00:00,51488115.0,13.9186,13.72,13.9607,14.05,13.6207,27271
2015-04-22 04:00:00,117945555.0,14.5678,14.1667,14.6293,14.792,14.1127,60655
2015-04-23 04:00:00,66167760.0,14.6117,14.5513,14.5733,14.7653,14.4767,31632
2015-04-24 04:00:00,36417645.0,14.6014,14.7,14.5617,14.72,14.534,21250
2015-04-27 04:00:00,175089375.0,15.5222,14.8373,15.4367,15.9167,14.8,86554
2015-04-28 04:00:00,91243320.0,15.4729,15.65,15.3653,15.7,15.202,42399
2015-04-29 04:00:00,59041155.0,15.4366,15.3367,15.4967,15.6647,15.1753,30873
2015-04-30 04:00:00,58677855.0,15.1775,15.3593,15.07,15.526,15.0113,34340
2015-05-01 04:00:00,79225335.0,14.9733,15.3293,15.0687,15.4513,14.6937,47150
2015-05-04 04:00:00,66518940.0,15.4244,15.212,15.3673,15.6487,15.1407,37830
2015-05-05 04:00:00,86953095.0,15.576,15.8507,15.53,15.9667,15.2753,47156
2015-05-06 04:00:00,79063995.0,15.4796,15.6067,15.362,15.6313,15.2133,46402
2015-05-07 04:00:00,141838410.0,15.3447,14.7333,15.7867,15.832,14.6833,69225
2015-05-08 04:00:00,70023540.0,15.7504,15.7327,15.774,15.894,15.58,37625
2015-05-11 04:00:00,85083930.0,16.0391,15.7527,15.966,16.192,15.6873,44829
2015-05-12 04:00:00,95451435.0,16.2472,16.0073,16.316,16.4233,15.8793,50102
2015-05-13 04:00:00,81602475.0,16.3191,16.5073,16.212,16.5533,16.15,39480
2015-05-14 04:00:00,43439040.0,16.2303,16.3213,16.2733,16.326,16.0833,24271
2015-05-15 04:00:00,67913445.0,16.4888,16.262,16.5893,16.6267,16.1667,36943
2015-05-18 04:00:00,50298180.0,16.5424,16.4667,16.5833,16.66,16.4,28322
2015-05-19 04:00:00,55113465.0,16.575,16.562,16.476,16.7333,16.41,31221
2015-05-20 04:00:00,56333535.0,16.251,16.4753,16.29,16.516,16.0915,31658
2015-05-21 04:00:00,29559645.0,16.3382,16.202,16.3747,16.4413,16.1572,17631
2015-05-22 04:00:00,33346335.0,16.4409,16.3587,16.5153,16.5733,16.334,18646
2015-05-26 04:00:00,52480230.0,16.5863,16.512,16.497,16.8,16.4333,30966
2015-05-27 04:00:00,51123000.0,16.4765,16.5673,16.4953,16.6333,16.37,29175
2015-05-28 04:00:00,54709245.0,16.6498,16.4687,16.7633,16.7867,16.3367,30175
2015-05-29 04:00:00,56839245.0,16.7182,16.7333,16.72,16.8578,16.6287,30613
2015-06-01 04:00:00,37575855.0,16.6456,16.7607,16.63,16.7733,16.498,20953
2015-06-02 04:00:00,32022135.0,16.547,16.5947,16.5567,16.6267,16.42,18006
2015-06-03 04:00:00,26722575.0,16.6033,16.5467,16.5993,16.7147,16.4673,14015
2015-06-04 04:00:00,36590025.0,16.4847,16.5,16.3947,16.62,16.3807,20135
2015-06-05 04:00:00,45330390.0,16.5218,16.4,16.6093,16.6467,16.3787,23597
2015-06-08 04:00:00,75254955.0,17.0693,16.7233,17.086,17.25,16.6873,39659
2015-06-09 04:00:00,39167190.0,17.0525,17.0267,17.0667,17.1827,16.9427,22127
2015-06-10 04:00:00,51816795.0,16.7302,16.7933,16.7133,16.9333,16.5667,29695
2015-06-11 04:00:00,30660870.0,16.8015,16.884,16.7607,16.958,16.6953,16361
2015-06-12 04:00:00,21335025.0,16.7725,16.6807,16.7127,16.8973,16.6807,12807
2015-06-15 04:00:00,32792625.0,16.5717,16.6467,16.692,16.752,16.4007,21726
2015-06-16 04:00:00,29770170.0,16.7963,16.6753,16.8747,16.896,16.6063,16642
2015-06-17 04:00:00,82693800.0,17.332,16.8113,17.3607,17.624,16.8013,46201
2015-06-18 04:00:00,41740545.0,17.477,17.4667,17.4593,17.564,17.3347,23409
2015-06-19 04:00:00,36945195.0,17.4518,17.4933,17.5007,17.5867,17.34,18691
2015-06-22 04:00:00,68395185.0,17.3267,17.4767,17.3193,17.6267,17.046,35839
2015-06-23 04:00:00,58062270.0,17.6496,17.3547,17.8447,17.8667,17.238,31619
2015-06-24 04:00:00,36184395.0,17.7008,17.7987,17.678,17.8233,17.5813,19432
2015-06-25 04:00:00,42738060.0,17.896,17.7633,17.9193,18.094,17.6833,23215
2015-06-26 04:00:00,57576510.0,17.8295,17.926,17.806,17.9407,17.7333,22791
2015-06-29 04:00:00,52183635.0,17.5279,17.4633,17.468,17.73,17.38,29934
2015-06-30 04:00:00,46304025.0,17.8561,17.6533,17.884,18.0613,17.6,27032
2015-07-01 04:00:00,31518360.0,17.9969,18.074,17.9433,18.1747,17.8567,20734
2015-07-02 04:00:00,107433450.0,18.48,18.6797,18.668,18.83,18.2207,59764
2015-07-06 04:00:00,61828995.0,18.577,18.592,18.648,18.7793,18.42,34041
2015-07-07 04:00:00,91576140.0,17.8546,18.3333,17.8587,18.3467,17.3847,58537
2015-07-08 04:00:00,93316155.0,17.1401,17.288,16.9973,17.3867,16.954,56712
2015-07-09 04:00:00,50010705.0,17.3216,17.272,17.1947,17.53,17.1193,31969
2015-07-10 04:00:00,39162870.0,17.3424,17.4813,17.2767,17.5333,17.188,22213
2015-07-13 04:00:00,44404785.0,17.3237,17.4833,17.4773,17.5033,17.07,26096
2015-07-14 04:00:00,28442115.0,17.6288,17.4733,17.71,17.7327,17.3673,17815
2015-07-15 04:00:00,30324315.0,17.6248,17.7827,17.5427,17.8327,17.472,19521
