date,volume,vwap,open,close,high,low,transactions,date,sma_20,sma_50,sma_200,ema_9,rsi_14,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,ema_12,ema_26,macd,macd_signal,macd_histogram,atr_14,log_return,historical_volatility
2025-03-17 04:00:00,255501481.0,120.1355,122.74,119.53,122.89,118.03,1950225,2025-03-17,122.26500000000001,,,117.07170874700812,44.650391802290535,122.26500000000001,10.500261901495547,143.2655238029911,101.26447619700892,117.79250265798001,122.23798042540082,-4.445477767420812,-4.954547343680547,0.5090695762597353,7.658864285714285,-0.017745075909468073,68.55291222648583
2025-03-18 04:00:00,299612031.0,116.4676,118.0,115.43,119.02,114.54,2211480,2025-03-18,121.06649999999999,,,116.7433669976065,37.957757179759916,121.06649999999999,9.78515377874476,140.6368075574895,101.49619244251048,117.42904071059846,121.73368557907484,-4.304644868476387,-4.824566848639715,0.5199219801633275,7.508149999999999,-0.03490310026306866,69.07805185906291
2025-03-19 04:00:00,273417345.0,117.8517,117.27,117.52,120.445,115.68,1865149,2025-03-19,119.981,128.00459999999998,,116.89869359808522,47.683635723093175,119.981,8.820831145944334,137.62266229188867,102.33933770811133,117.44303444742945,121.4215607213656,-3.97852627393614,-4.655358733699,0.6768324597628599,6.794935714285713,0.01794424623880096,69.712343241916
2025-03-20 04:00:00,248828549.0,118.6396,116.55,118.53,120.2,116.47,1579520,2025-03-20,118.90200000000002,127.3866,,117.22495487846818,43.972835314091675,118.90200000000002,7.440918590717308,133.78383718143462,104.0201628185654,117.6102599170557,121.20737103830147,-3.5971111212457743,-4.443709211208355,0.8465980899625807,6.440649999999999,0.008557561225787148,69.78036418168139
2025-03-21 04:00:00,266498528.0,117.0709,116.94,117.7,117.99,115.42,1393384,2025-03-21,118.0655,126.93780000000001,,117.31996390277456,54.23452768729641,118.0655,6.481997316454581,131.02949463290918,105.10150536709084,117.62406608366251,120.94756577620507,-3.323499692542555,-4.219667307475195,0.8961676149326401,5.759935714285713,-0.0070270788251779615,68.68105415648176
2025-03-24 04:00:00,227399684.0,121.2129,119.88,121.41,122.22,119.34,1481316,2025-03-24,117.622,126.56379999999999,,118.13797112221965,56.05451295799821,117.622,5.877554629354849,129.3771092587097,105.8668907412903,118.20651745540675,120.98182016315283,-2.7753027077460786,-3.930794387529372,1.1554916797832933,5.425649999999998,0.031034233289652855,69.27175657692543
2025-03-25 04:00:00,167162198.0,120.3551,120.545,120.69,121.29,118.92,1190380,2025-03-25,117.325,126.2594,,118.64837689777573,53.83744623047318,117.325,5.5387234896440525,128.4024469792881,106.2475530207119,118.58859169303649,120.96020385477114,-2.371612161734646,-3.618957942370427,1.247345780635781,5.334357142857142,-0.005947972926077309,68.65736568861894
2025-03-26 04:00:00,296091617.0,114.7518,118.73,113.76,118.84,112.71,2420072,2025-03-26,116.449,125.87,,117.6707015182206,53.59477124183009,116.449,4.504333469004909,125.45766693800982,107.44033306199017,117.84573143256934,120.42685542108438,-2.5811239885150457,-3.411391151599351,0.8302671630843053,5.398642857142856,-0.059134308574875685,69.88831001847736
2025-03-27 04:00:00,236887555.0,112.2753,111.35,111.43,114.45,110.66,1790810,2025-03-27,116.01299999999999,125.46340000000001,,116.42256121457649,48.586810228802165,116.01299999999999,4.549045128259896,125.11109025651979,106.9149097434802,116.85869582755868,119.76042168618923,-2.901725858630556,-3.309458093005592,0.40773223437503603,5.246499999999999,-0.020694374995968212,63.23484324756195
2025-03-28 04:00:00,229872549.0,110.1685,111.485,109.67,112.87,109.0701,1847538,2025-03-28,115.25050000000002,124.932,,115.07204897166119,53.31036180162441,115.25050000000002,4.245451404924636,123.74140280984929,106.75959719015074,115.75274262331888,119.01298304276781,-3.260240419448934,-3.2996145582942606,0.03937413884532681,5.001492857142857,-0.015920734286845054,61.289958726375836
2025-03-31 04:00:00,299132653.0,106.1728,105.13,108.38,110.955,103.65,2328691,2025-03-31,114.96650000000002,124.4282,,113.73363917732895,49.52665670154458,114.96650000000002,4.510961240776411,123.98842248155285,105.9445775184472,114.61847452742367,118.22535466922946,-3.6068801418057888,-3.3610676749965664,-0.2458124668092223,4.989992857142856,-0.01183228663414946,52.65975614744632
2025-04-01 04:00:00,222527384.0,108.6702,108.515,110.15,110.2,106.47,1780610,2025-04-01,114.6745,123.877,,113.01691134186316,41.99828227884342,114.6745,4.628700482629252,123.9319009652585,105.41709903474148,113.93101690782004,117.62718024928654,-3.6961633414665016,-3.428086808290554,-0.2680765331759476,4.6849928571428565,0.01619950311038404,52.631915672712395
2025-04-02 04:00:00,220483243.0,109.502,107.29,110.42,111.98,106.79,1721287,2025-04-02,114.33049999999999,123.2688,,112.49752907349054,42.63698630136987,114.33049999999999,4.67869355921609,123.68788711843217,104.9731128815678,113.39086046046312,117.09331504563568,-3.7024545851725605,-3.4829603636669555,-0.21949422150560505,4.772135714285713,0.0024482036075463964,52.418082948223635
2025-04-03 04:00:00,338692412.0,103.3633,103.51,101.8,105.63,101.6,3041138,2025-04-03,113.89200000000001,122.3634,,110.35802325879244,23.55602874634016,113.89200000000001,5.40438282176679,124.70076564353359,103.08323435646643,111.6076511588534,115.96047689410712,-4.352825735253717,-3.656933437984308,-0.6958922972694088,4.952135714285714,-0.08128117273947622,56.03397362405027
2025-04-04 04:00:00,532052710.0,95.3335,98.91,94.31,100.13,92.11,4607008,2025-04-04,112.973,121.3052,,107.14841860703396,20.619757688723197,112.973,6.958744669005925,126.89048933801185,99.05551066198815,108.94647405749134,114.356737864914,-5.410263807422652,-4.007599511871977,-1.4026642955506752,5.297135714285714,-0.07642287556062889,60.841128412254655
